[SQL_LOG:2023-03-20 13:47:19]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:41:05]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:42:15]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:43:18]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:43:43]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:44:12]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:52:20]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:52:49]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:52:59]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:53:33]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:53:33]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:57:05]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:58:39]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 17:58:40]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:02:05]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:02:57]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:03:40]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:09:37]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:09:38]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:20:15]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:21:27]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:22:01]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-21 18:28:02]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:21:30]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:31:34]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:33:06]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:34:17]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:39:26]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:40:03]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:41:00]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:41:09]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:50:59]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:53:01]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:55:38]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:55:50]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:55:57]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:56:06]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:56:29]: SELECT id, ctg_name, parent_id FROM category      []
